2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616,2031616,2031616,2031616,2031616,0,2031616,2031616,2031616
2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627,2031627,2031627,2031627,0,2031627,2031627,2031627,2031627
2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643,2031643,2031643,0,2031643,2031643,2031643,2031643,2031643
917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535,917535,0,917535,917535,917535,917535,917535,917535
31,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,0,31,31,31,31,31,31,31
3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,0,0,3103,3103,3103,3103,3103,0,3103,3103,3103,3103,3103,3103,0,3103,3103,3103,3103,3103,3103,0,3103,3103,3103,3103,3103,3103,0,3103,3103,3103,3103,3103,0,0,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103
10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,0,0,10783,10783,10783,10783,0,0,10783,10783,10783,10783,0,0,10783,10783,10783,10783,0,0,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783,10783
16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,0,0,0,0,0,0,0,0,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147,16147
16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,0,0,0,0,16133,16133,16133,16133,16133,16133,16133,16133,0,0,0,0,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133
16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,0,0,16128,16128,16128,16128,16128,16128,16128,16128,0,0,16128,16128,16128,16128,16128,16128,16128,16128,0,0,16128,16128,16128,16128,16128,16128,16128,16128,0,0,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128
474880,474880,474880,474880,474880,474880,474880,474880,0,0,474880,474880,474880,474880,474880,474880,474880,474880,0,474880,474880,474880,474880,474880,474880,474880,474880,0,474880,474880,474880,474880,474880,474880,474880,474880,0,474880,474880,474880,474880,474880,474880,474880,474880,0,474880,474880,474880,474880,474880,474880,474880,474880,0,0,474880,474880,474880,474880,474880,474880,474880,474880
0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0,1392384,1392384,1392384,1392384,1392384,1392384,1392384,1392384,0
2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624,2042624,2042624,2042624,2042624,2042624,2042624,0,2042624
2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944,2034944,2034944,2034944,2034944,2034944,0,2034944,2034944
